id,name,total,1 sao,2 sao,3 sao,4 sao,5 sao,link shopee
18707443163,Gối Cao Su Liên Á Oval,5,0,0,0,0,5,https://shopee.vn/Gối-Cao-Su-Liên-Á-Oval-i.179124960.18707443163
20738247181,Bộ Chăn Ga Amando Lily Họa Tiết 5CT 100% Vải Microfiber Độ Bền Cao Mềm Mại Tuyệt Đối,4,0,0,0,0,4,https://shopee.vn/Bộ-Chăn-Ga-Amando-Lily-Họa-Tiết-5CT-100%-Vải-Microfiber-Độ-Bền-Cao-Mềm-Mại-Tuyệt-Đối-i.179124960.20738247181
11104654020,Nệm foam Amando Luca kết hợp Charcoal Gel và Green Tea êm ái dễ chịu bảo hành bởi Vua Nệm,2,0,0,0,0,2,https://shopee.vn/Nệm-foam-Amando-Luca-kết-hợp-Charcoal-Gel-và-Green-Tea-êm-ái-dễ-chịu-bảo-hành-bởi-Vua-Nệm-i.179124960.11104654020
13388108225,"Bộ ga gối Amando Lily cao cấp 4 chi tiết mềm mịn thoáng mát, drap bọc nệm êm ái kháng khuẩn phân phối bởi Vua Nệm",24,2,0,0,0,22,"https://shopee.vn/Bộ-ga-gối-Amando-Lily-cao-cấp-4-chi-tiết-mềm-mịn-thoáng-mát,-drap-bọc-nệm-êm-ái-kháng-khuẩn-phân-phối-bởi-Vua-Nệm-i.179124960.13388108225"
19129974510,"[ĐỘC QUYỀN VUA NỆM] Nệm Cao Su Đa Tầng Kim Cương Fiona, Công Nghệ Kháng Khuẩn Chuẩn Châu Âu, Độ Đàn Hồi Tối Ư\u",14,0,0,0,0,14,"https://shopee.vn/[ĐỘC-QUYỀN-VUA-NỆM]-Nệm-Cao-Su-Đa-Tầng-Kim-Cương-Fiona,-Công-Nghệ-Kháng-Khuẩn-Chuẩn-Châu-Âu,-Độ-Đàn-Hồi-Tối-Ư\u-i.179124960.19129974510"
16077340846,Gối ngủ cao su thiên nhiên Liên Á Contour gợn sóng cao cấp giúp nâng đỡ đầu vai gáy,17,0,0,0,1,16,https://shopee.vn/Gối-ngủ-cao-su-thiên-nhiên-Liên-Á-Contour-gợn-sóng-cao-cấp-giúp-nâng-đỡ-đầu-vai-gáy-i.179124960.16077340846
16949728361,Nệm cao su non Goodnight Nagoya tinh chất trà xanh an toàn da nâng đỡ cơ thể,22,0,1,0,0,21,https://shopee.vn/Nệm-cao-su-non-Goodnight-Nagoya-tinh-chất-trà-xanh-an-toàn-da-nâng-đỡ-cơ-thể-i.179124960.16949728361
21625765586,Gối Cao Su Thiên Nhiên Gummi Cookie Thiết Kế Vòm Cong Tối Ưu Giúp Giảm Đau Cổ Vai Gáy Vượt Trội,24,0,0,1,0,23,https://shopee.vn/Gối-Cao-Su-Thiên-Nhiên-Gummi-Cookie-Thiết-Kế-Vòm-Cong-Tối-Ưu-Giúp-Giảm-Đau-Cổ-Vai-Gáy-Vượt-Trội-i.179124960.21625765586
19032909944,[Quà tặng không bán] Gấu Bông Vua Nệm,13,0,0,0,0,13,https://shopee.vn/[Quà-tặng-không-bán]-Gấu-Bông-Vua-Nệm-i.179124960.19032909944
16077336585,"Nệm lò xo Amando Verona túi độc lập, nâng đỡ cơ thể tối đa, cuộn hút chân không tiện lợi",34,0,0,0,1,33,"https://shopee.vn/Nệm-lò-xo-Amando-Verona-túi-độc-lập,-nâng-đỡ-cơ-thể-tối-đa,-cuộn-hút-chân-không-tiện-lợi-i.179124960.16077336585"
18135364083,"[ĐỘC QUYỀN VUA NỆM] Nệm Cao Su Thiên Nhiên Foam Cao Cấp Kim Cương Stella Nâng Đỡ Cơ Thể Hoàn Hảo, Kháng Khuẩn Tối Ưuu",18,0,0,0,0,18,"https://shopee.vn/[ĐỘC-QUYỀN-VUA-NỆM]-Nệm-Cao-Su-Thiên-Nhiên-Foam-Cao-Cấp-Kim-Cương-Stella-Nâng-Đỡ-Cơ-Thể-Hoàn-Hảo,-Kháng-Khuẩn-Tối-Ưuu-i.179124960.18135364083"
21351614218,Tấm Topper Doona Microfiber,1,0,0,0,0,1,https://shopee.vn/Tấm-Topper-Doona-Microfiber-i.179124960.21351614218
19805844572,Đôi Gối Nằm Doona Promo 45x65 cm,80,0,1,0,1,78,https://shopee.vn/Đôi-Gối-Nằm-Doona-Promo-45x65-cm-i.179124960.19805844572
4594505465,Chiếu điều hòa 3D Doona vải lưới cao cấp thoáng mát đủ size bảo hành bởi Vua Nệm,10,0,0,0,1,9,https://shopee.vn/Chiếu-điều-hòa-3D-Doona-vải-lưới-cao-cấp-thoáng-mát-đủ-size-bảo-hành-bởi-Vua-Nệm-i.179124960.4594505465
18425735933,Gối Foam Contour Doona Sofy Cấu Trúc Lượn Sóng Nâng Đỡ Định Hình Xương Cổ Và Đầu Hoàn Hảo,35,0,0,0,1,34,https://shopee.vn/Gối-Foam-Contour-Doona-Sofy-Cấu-Trúc-Lượn-Sóng-Nâng-Đỡ-Định-Hình-Xương-Cổ-Và-Đầu-Hoàn-Hảo-i.179124960.18425735933
8570196547,Vỏ chăn cotton lụa Amado Dream kích thước 200x220cm,0,0,0,0,0,0,https://shopee.vn/Vỏ-chăn-cotton-lụa-Amado-Dream-kích-thước-200x220cm-i.179124960.8570196547
15002211862,"Ruột chăn Doona Microfiber T233, kích thước 200x220cm; thông thoáng, gọn nhẹ",0,0,0,0,0,0,"https://shopee.vn/Ruột-chăn-Doona-Microfiber-T233,-kích-thước-200x220cm;-thông-thoáng,-gọn-nhẹ-i.179124960.15002211862"
4689765981,"Nệm Foam Amando Flavio êm ái mềm mại nâng đỡ cơ thể, duy trì đường cong tự nhiên cột sống bảo hành bởi Vua Nệm",0,0,0,0,0,0,"https://shopee.vn/Nệm-Foam-Amando-Flavio-êm-ái-mềm-mại-nâng-đỡ-cơ-thể,-duy-trì-đường-cong-tự-nhiên-cột-sống-bảo-hành-bởi-Vua-Nệm-i.179124960.4689765981"
9877316701,Nệm lò xo Dunlopillo Audrey dày 25cm độ đàn hồi cao bảo vệ cột sống bảo hành bởi Vua Nệm,1,0,0,0,0,1,https://shopee.vn/Nệm-lò-xo-Dunlopillo-Audrey-dày-25cm-độ-đàn-hồi-cao-bảo-vệ-cột-sống-bảo-hành-bởi-Vua-Nệm-i.179124960.9877316701
18535355520,"[ĐỘC QUYỀN VUA NỆM] Nệm cao su tổng hợp Kim Cương Erica Smart Tech nâng đỡ cơ thể, êm ái tối đa phân phối bởi Vua Nệm",12,0,0,0,0,12,"https://shopee.vn/[ĐỘC-QUYỀN-VUA-NỆM]-Nệm-cao-su-tổng-hợp-Kim-Cương-Erica-Smart-Tech-nâng-đỡ-cơ-thể,-êm-ái-tối-đa-phân-phối-bởi-Vua-Nệm-i.179124960.18535355520"
8481074728,"Nệm Foam Inoac Aeroflow Fit Plus siêu mềm mại, cấu trúc lượng sóng dễ ngủ sâu, bảo vệ cột sống bảo hành bởi Vua Nệm",0,0,0,0,0,0,"https://shopee.vn/Nệm-Foam-Inoac-Aeroflow-Fit-Plus-siêu-mềm-mại,-cấu-trúc-lượng-sóng-dễ-ngủ-sâu,-bảo-vệ-cột-sống-bảo-hành-bởi-Vua-Nệm-i.179124960.8481074728"
11717944874,Nệm bông ép Kim Cương Acness nâng đỡ cột sống giảm đau lưng bảo hành chính hãng bởi Vua Nệm,22,1,1,0,0,20,https://shopee.vn/Nệm-bông-ép-Kim-Cương-Acness-nâng-đỡ-cột-sống-giảm-đau-lưng-bảo-hành-chính-hãng-bởi-Vua-Nệm-i.179124960.11717944874
